feature,coefficient,abs_coefficient,feature_type
region,-0.17854878878676717,0.17854878878676717,text
registered,-1.2979176789199505,1.2979176789199505,text
regular,-0.64677351746729,0.64677351746729,text
regulatory,0.640645837094912,0.640645837094912,text
regulatory authorities,0.09956770282977175,0.09956770282977175,text
regulatory authority,-0.3068187538094698,0.3068187538094698,text
rehab,2.4599484192801633,2.4599484192801633,text
related,1.4898812016581524,1.4898812016581524,text
related causality,-0.5350755981236799,0.5350755981236799,text
related covid,1.131557575079198,1.131557575079198,text
related vaccine,-0.24434363346276217,0.24434363346276217,text
relationship,0.03229488740727222,0.03229488740727222,text
relationship excluded,0.614607546108279,0.614607546108279,text
relationship mrna,-0.5878943657972294,0.5878943657972294,text
relationship unlabeled,0.20211139781829932,0.20211139781829932,text
release,0.4460344032952039,0.4460344032952039,text
released,0.04210566880682158,0.04210566880682158,text
relevant,-1.756291090949711,1.756291090949711,text
relevant concomitant,0.6325008616652471,0.6325008616652471,text
relevant history,-1.3487990108214147,1.3487990108214147,text
relevant laboratory,0.7104190076276953,0.7104190076276953,text
relevant medical,0.30770273324658004,0.30770273324658004,text
relief,-0.17666333566128328,0.17666333566128328,text
relieve,-0.5050051973868823,0.5050051973868823,text
relieved,-0.8946381537295148,0.8946381537295148,text
remain,-0.19207061477528536,0.19207061477528536,text
remained,0.23389856480248,0.23389856480248,text
remained unchanged,0.17102627504357537,0.17102627504357537,text
remaining,0.018315318468441005,0.018315318468441005,text
remains,0.41312645487699534,0.41312645487699534,text
remdesivir,3.4535628007580232,3.4535628007580232,text
remember,0.005030842858038828,0.005030842858038828,text
removed,1.5967187751211263,1.5967187751211263,text
renal,1.9413743179522662,1.9413743179522662,text
repeat,-0.2375563300731335,0.2375563300731335,text
repeat dose,-1.9270850792184666,1.9270850792184666,text
repeated,0.4387130358892206,0.4387130358892206,text
replacement,0.45119145739435307,0.45119145739435307,text
reportedly,0.828684731239796,0.828684731239796,text
reporter,0.5567696229510808,0.5567696229510808,text
reporter causality,-0.7385013726113803,0.7385013726113803,text
reporter comments,0.9249293017146761,0.9249293017146761,text
reporter concomitant,-0.2578803294038471,0.2578803294038471,text
reporter considered,-0.21058091617040622,0.21058091617040622,text
reporter consumer,1.3051707329818842,1.3051707329818842,text
reporter did,0.034127958502925625,0.034127958502925625,text
reporter drug,-0.01381086662735777,0.01381086662735777,text
reporter hcp,-0.4982075996252901,0.4982075996252901,text
reporter linked,-2.02052533261195,2.02052533261195,text
reporter patient,-0.6723556711770553,0.6723556711770553,text
reporter stated,0.6173828815297734,0.6173828815297734,text
reporter treatment,-0.25808748604670206,0.25808748604670206,text
reporting,0.484447538328833,0.484447538328833,text
reports,0.2501530914419226,0.2501530914419226,text
reports feeling,-0.604140678687973,0.604140678687973,text
representative,-0.7915946152683162,0.7915946152683162,text
representative concerned,0.0801441027714132,0.0801441027714132,text
request,0.4319480389291221,0.4319480389291221,text
request batch,-0.03665543703226084,0.03665543703226084,text
requested,0.3663519850980108,0.3663519850980108,text
requested concomitant,-0.2447365175681626,0.2447365175681626,text
requested follow,0.26756380941430236,0.26756380941430236,text
requested follow-up,-0.497208088541237,0.497208088541237,text
requested sender,-0.6715815175529856,0.6715815175529856,text
requested submitted,-0.3093334544999678,0.3093334544999678,text
require,-0.2500436346572711,0.2500436346572711,text
required,3.146544767470597,3.146544767470597,text
required physician,0.8833759952801016,0.8833759952801016,text
requiring,2.136984016107781,2.136984016107781,text
resident,2.12363373341177,2.12363373341177,text
residual,-0.4448224480947839,0.4448224480947839,text
resolution,-0.32097909558693805,0.32097909558693805,text
resolve,-0.533873681999124,0.533873681999124,text
resolved,-1.884324052814475,1.884324052814475,text
resolved action,0.32080207831799934,0.32080207831799934,text
resolved concomitant,-0.07283313849490103,0.07283313849490103,text
resolved days,-0.06206909493048411,0.06206909493048411,text
resolved diagnostic,-0.01097494423255729,0.01097494423255729,text
resolved hours,-0.30438916489017004,0.30438916489017004,text
resolved jan,-0.7222770619528602,0.7222770619528602,text
resolved mrna,0.9158750936153864,0.9158750936153864,text
resolved patient,0.059870064579512605,0.059870064579512605,text
resolved provided,-0.04009898114170121,0.04009898114170121,text
resolved time,0.716623753180663,0.716623753180663,text
resolving,-0.4081314138775777,0.4081314138775777,text
resonance,-0.982840284038798,0.982840284038798,text
resonance imaging,0.070633541723646,0.070633541723646,text
resp,0.392985237021216,0.392985237021216,text
respiratory,0.7910203956980258,0.7910203956980258,text
respiratory distress,1.4513938139577054,1.4513938139577054,text
respiratory failure,2.3007370385290646,2.3007370385290646,text
responded,-0.6408837702879806,0.6408837702879806,text
response,0.9414745007915438,0.9414745007915438,text
response event,-0.7979794761831206,0.7979794761831206,text
response events,-0.5031694741886333,0.5031694741886333,text
response promptly,0.37572202542992106,0.37572202542992106,text
responsive,0.46835808940788426,0.46835808940788426,text
rest,-1.1878729586280004,1.1878729586280004,text
rest day,-0.5122101260737791,0.5122101260737791,text
rested,-1.38315250880136,1.38315250880136,text
resting,-0.61342319638842,0.61342319638842,text
restless,-0.92059616739432,0.92059616739432,text
result,0.9551307408943606,0.9551307408943606,text
result doctor,-4.509147282289589,4.509147282289589,text
result drug,-0.9695943557109943,0.9695943557109943,text
result event,-1.3119850816784915,1.3119850816784915,text
result events,-0.3251453653473133,0.3251453653473133,text
result vaccination,-1.5978253336758939,1.5978253336758939,text
resulting,3.13815454952531,3.13815454952531,text
results,-0.49910831527547256,0.49910831527547256,text
results normal,0.10560440869154451,0.10560440869154451,text
retrospective,-1.6227423354031325,1.6227423354031325,text
retrospective clean-up,-0.25377810594502886,0.25377810594502886,text
return,-0.2812839047780639,0.2812839047780639,text
returned,0.23921319556989237,0.23921319556989237,text
returned normal,-0.23166338531953254,0.23166338531953254,text
revaccination,-1.5949860944431589,1.5949860944431589,text
revealed,0.12212111222278753,0.12212111222278753,text
review,0.033766491035933675,0.033766491035933675,text
review analysis,0.0683381552955353,0.0683381552955353,text
review appropriate,0.036628725467768644,0.036628725467768644,text
reviewed,-0.4177921609151946,0.4177921609151946,text
rheumatoid,0.02552343301148465,0.02552343301148465,text
rheumatoid arthritis,0.04118808353729604,0.04118808353729604,text
rheumatologist,-0.33728268329918776,0.33728268329918776,text
rhinorrhoea,0.3297365798252746,0.3297365798252746,text
rhythm,-0.5615345164495708,0.5615345164495708,text
rib,0.7496865259482821,0.7496865259482821,text
ribs,-0.2597189826846917,0.2597189826846917,text
right,0.1304160793136896,0.1304160793136896,text
right administration,0.2738400888973248,0.2738400888973248,text
right arm,0.12339709523527508,0.12339709523527508,text
right away,0.3562441249747894,0.3562441249747894,text
right breast,0.016744302579275526,0.016744302579275526,text
right deltoid,0.2332577692485365,0.2332577692485365,text
right ear,-0.5004965166809987,0.5004965166809987,text
right eye,0.1349697220009525,0.1349697220009525,text
right face,0.044248017016516206,0.044248017016516206,text
right foot,-0.00941380708378817,0.00941380708378817,text
