feature,importance,feature_type
start date,0.00027675636406675067,text
began,0.0002763643789011403,text
covid vaccine,0.0002753356945299856,text
near,0.0002726900710054989,text
swollen,0.00027267052142988265,text
resp,0.0002721180782232563,text
swelling,0.0002720800318908646,text
appointment,0.00027163432908064195,text
concern,0.0002714391524330853,text
temporal,0.00026914894361583,text
investigation,0.00026645603586843337,text
vital,0.0002664189431105699,text
received bnt,0.00026626058974618503,text
year old,0.00026504918494316604,text
improved,0.00026498919636304787,text
covid pcr,0.00026427749602212126,text
en,0.000264261625496518,text
noted,0.0002639049735463291,text
testing,0.00026267756825029085,text
vaccinated,0.0002626104335816221,text
speech,0.0002626058833796987,text
medications unspecified,0.000262530260393805,text
covid vaccination,0.00026190227781365045,text
conditions,0.00026069434094291714,text
physician,0.00026031956659189646,text
cat__STATE_OK,0.0002603186362600373,structured
monday,0.00025974606934052664,text
numb,0.00025887954817404815,text
week,0.00025811302493941026,text
ordered,0.0002580316696316611,text
ice,0.00025779219588691646,text
feel,0.0002566118015475658,text
cdc,0.0002561005346086265,text
declined,0.00025403634908521697,text
contactable reporter,0.00025244007395911676,text
company,0.00025199347206916945,text
feelings,0.00025192638539763397,text
feels like,0.0002515723877112001,text
potentially,0.0002510822098275665,text
palpitations,0.0002508786264979688,text
allergy,0.00025023660627170274,text
body aches,0.00025010304429003453,text
stated,0.0002482769274770451,text
able,0.0002481444012936875,text
changed dosage,0.0002472843495422005,text
diphenhydramine,0.00024586926813635845,text
cat__MONTH_6,0.0002453139042748067,structured
respiratory,0.00024347526126398055,text
patient got,0.000243341030228331,text
professional describes,0.0002423980790240431,text
linked,0.00024234864366638268,text
second dose,0.00024056085232975881,text
drug,0.0002404345805336531,text
route administration,0.0002393206908051679,text
cat__MONTH_3,0.0002383971719092689,structured
advised,0.00023822703844683803,text
face,0.00023805222915865954,text
binary__CUR_ILL_MISSING,0.00023784963025986087,structured
deltoid,0.00023700480214342446,text
age received,0.00023630341792395775,text
numbness,0.00023385003253185136,text
received second,0.0002329604839927062,text
provided,0.00023191072608259015,text
getting,0.00023133871740468594,text
treatment,0.0002302326673463561,text
high,0.00022982904917789412,text
pneumonia,0.00022965797738249685,text
low grade,0.00022855948246502624,text
rate,0.0002283795907673956,text
cat__YEAR_2022,0.0002264053614159012,structured
requested follow,0.00022270597594128584,text
temp,0.00022206524301491968,text
couldn,0.0002218409926969531,text
dose covid,0.00022175235039865898,text
lip,0.00022145005484954097,text
binary__ALLERGIES__drug_allergy,0.00022139693552949857,structured
protocol,0.0002206400924980112,text
year-old male,0.00022014925670924194,text
mod linked,0.00022006180089971175,text
worse,0.00021966143469801072,text
times,0.00021875997580178414,text
meds,0.00021869591932268566,text
came,0.00021767309891121598,text
follow-up,0.00021712468890951593,text
therapy,0.00021696467758840205,text
receiving,0.00021687286244682737,text
administration administered,0.00021611518290596055,text
right,0.00021577456440986418,text
event drug,0.0002156678877329522,text
binary__CUR_ILL__other,0.00021458670816060333,structured
having,0.0002145689969872164,text
female,0.00021303764518638632,text
date patient,0.0002123522555298316,text
occurred,0.00021142598755271335,text
injection lot,0.00021108338325525445,text
possible information,0.00020947109959425922,text
date single,0.00020910141139301417,text
effects,0.0002075175122189237,text
felt better,0.00020570668580012039,text
cat__STATE_VA,0.00020552659861352714,structured
previous,0.00020542620727253367,text
gone,0.00020497421948106008,text
receiving vaccine,0.0002046983670956167,text
immunisation patient,0.00020462793561867333,text
cream,0.00020318095608647994,text
evening,0.00020287236165287588,text
embolism,0.0002015198031785814,text
included patient,0.00020007296560285126,text
cat__SEX_F,0.00020001645299472264,structured
