feature,importance,feature_type
numbness,0.00023704936418670212,text
seen,0.00023637581387274165,text
use product,0.00023622260060079603,text
medically,0.0002360170813277777,text
conditions included,0.00023473762573120448,text
safety,0.00023472936938077012,text
vaccination patient,0.00023458655902641403,text
cxr,0.00023435408774118778,text
data,0.00023375737657153558,text
vaccine series,0.0002337451641355481,text
unspecified age,0.00023361701547339935,text
clots,0.0002329743785830638,text
blood clot,0.00023276665335781647,text
concurrent medical,0.0002310164033531301,text
feb,0.00023077320095075837,text
unexpected,0.00023074283887574635,text
loss,0.00023042368179784268,text
nausea,0.00022987378625788504,text
detected,0.00022939933858971706,text
covid immunization,0.00022902578124315176,text
assessed,0.0002281807031891719,text
treatment covid,0.00022796162899254953,text
binary__HISTORY__respiratory,0.00022768451354577887,structured
single batch,0.00022622730757510207,text
speech,0.00022621500888760201,text
diagnosed covid,0.0002249369800501648,text
possible,0.00022406823728927879,text
events causal,0.0002239185625369387,text
dizziness,0.00022306611807700272,text
benadryl,0.00022205747178391996,text
contactable consumer,0.0002218246227074049,text
binary__ALLERGIES__drug_allergy,0.00022154342434932466,structured
stated,0.00022122559358351228,text
fully,0.0002212011924494517,text
lost,0.00022093046939750794,text
use date,0.00022068950096803516,text
fully vaccinated,0.00021965695807257864,text
high,0.00021927929994964356,text
duration,0.00021876500793205277,text
reactions,0.00021831008174109882,text
assessments concomitant,0.00021659942234197353,text
association,0.00021564689604741596,text
safety concern,0.00021561745396714773,text
treatment medications,0.00021535804934706508,text
patient unspecified,0.00021480962838981433,text
aggregate,0.000214400630820877,text
inches,0.00021397889402276758,text
ended,0.00021366304135199995,text
months,0.0002133233892551963,text
impact,0.00021326656571343003,text
contact,0.0002118869685538045,text
nasal,0.00021034728571834484,text
began,0.00020993509265868516,text
including,0.00020982719993586086,text
attempts needed,0.00020917565262616172,text
menstrual,0.00020917345281294006,text
taken covid,0.00020750891920564296,text
diagnostic results,0.00020587419884806116,text
form date,0.00020569850261212052,text
related,0.00020522362939710392,text
ongoing,0.00020495595704518325,text
myocarditis,0.0002048600626010463,text
apr,0.00020355390394449945,text
hypertension,0.00020326900732776685,text
getting,0.00020318118905943012,text
manufacturer,0.00020279245543376905,text
non onset,0.00020264039127114978,text
monovalent,0.00020209164625677894,text
unresponsive,0.00020183578618660994,text
concerns,0.00020135587313771113,text
chest x-ray,0.0002009524243139485,text
painful,0.0002008888569538897,text
covid mrna,0.00020057473816974616,text
taken result,0.00020054260002365514,text
unable,0.00020037410832328902,text
came,0.00020026884780111268,text
pm,0.00019991021715607185,text
medical conditions,0.0001997691912308638,text
palsy,0.0001996929684238474,text
congestion,0.00019964745294979237,text
pfizer procedures,0.0001994027371239409,text
shoulder,0.00019899159800739648,text
tylenol,0.00019883366253467137,text
night,0.00019848515330110156,text
physician office,0.0001979747047708882,text
consumer patient,0.00019763205063832835,text
administration error,0.0001974346740560489,text
ranges,0.00019736720221272424,text
medically confirmed,0.00019710248462933774,text
ineffective covid,0.00019678733747483312,text
event considered,0.00019662851140191204,text
action response,0.00019633034765678206,text
vomiting,0.00019598399212816323,text
skin,0.00019588401693383393,text
old,0.000195244364042777,text
vaccines,0.0001951340451078957,text
ad,0.00019424910310415753,text
laboratory,0.00019409983128717575,text
legs,0.00019359877091325862,text
tests procedures,0.0001930070485044124,text
product start,0.000192871787103597,text
administered arm,0.00019229709465321302,text
year-old male,0.00019103595013688704,text
slight,0.00019037759027980915,text
physical,0.00019011485692953137,text
leg,0.00018969111276752324,text
appropriate,0.00018867013819861525,text
vaccine ad,0.00018797284341387922,text
patient underwent,0.0001879156030653411,text
underwent,0.00018756408182350715,text
dose number,0.0001870938790117326,text
tired,0.00018685934383252261,text
sore throat,0.00018679644994896457,text
plausibility information,0.00018667480125908085,text
ethics,0.00018623738543455657,text
mar patient,0.00018621388228141295,text
notified regulatory,0.00018587472084100848,text
neck,0.00018407956215358288,text
health,0.00018395778607118398,text
allergic reaction,0.00018371925066114678,text
cov applicable,0.00018367367587204407,text
steroid,0.00018321990872905875,text
post vaccination,0.0001831669726021018,text
provide,0.00018314793858339773,text
facial,0.00018228822085504046,text
hypotension,0.00018058381062645992,text
lung,0.00018045736187884953,text
away,0.00018011536055434534,text
hot,0.00017979435865019116,text
comments limited,0.00017971800612639094,text
nd dose,0.00017903877109928988,text
aggregate data,0.0001790125523105071,text
nasal swab,0.0001786853676920578,text
antibiotics,0.00017824413019650783,text
response,0.00017781613535784496,text
runny nose,0.0001778093610311089,text
cat__SEX_U,0.00017780315874157054,structured
taking,0.00017768197271643795,text
dose bnt,0.0001772893954692924,text
treatment information,0.00017694717610270818,text
muscle aches,0.00017683397488685106,text
scientific,0.00017621336650180074,text
binary__UNKNOWN_DOSE,0.00017608758007373173,structured
prescribed paxlovid,0.00017602412066954618,text
procedures safety,0.00017595216972922552,text
non events,0.00017570870305526966,text
patient taken,0.00017500727127168505,text
said,0.00017464686089263122,text
clinical course,0.0001738735277025872,text
primary,0.00017308295981767005,text
non described,0.00017262384661674213,text
associated,0.00017225475431518496,text
heavy,0.000171843869592026,text
binary__PRIOR_VAX_MISSING,0.00017163968921274096,structured
therapeutic measures,0.0001714043719414084,text
occurrence additional,0.0001713330433862912,text
renal,0.00017063837731808528,text
sepsis,0.00017053780941386705,text
prophylactic vaccination,0.00017049475260697388,text
years-old,0.00017045986148933468,text
going,0.00017020021626412249,text
pharmacy,0.0001701090641061628,text
unspecified date,0.0001700168545214503,text
st,0.00016970744647371413,text
analysis,0.00016946749739416033,text
little,0.00016801821662698748,text
cat__MONTH_5,0.00016755542249855592,structured
vaccine reporter,0.00016747801334051116,text
series mrna,0.00016730503722886268,text
information temporal,0.00016722641820108138,text
arms,0.00016654536734194735,text
allergies,0.00016653982928411978,text
history experienced,0.00016528991602484693,text
professional office,0.00016449729621617712,text
raised,0.0001643041100187971,text
concurrent,0.00016413261612418164,text
armpit,0.00016386092110438473,text
shingles,0.00016365716040972998,text
binary__HISTORY__other,0.0001633720767139347,structured
received covid,0.00016273634416290623,text
factors potentially,0.00016198164508782735,text
products included,0.0001618505747259755,text
cat__STATE_KY,0.00016165879564203928,structured
authorities ethics,0.00016128350566895313,text
gender,0.00016067701282456093,text
lab,0.000160092743776459,text
allergy,0.00015973724241273322,text
concern,0.0001596454035903048,text
lot batch,0.00015927153974645562,text
obtained,0.0001590014720280921,text
worsening,0.00015866394154542832,text
today,0.00015830994845984534,text
drug ineffective,0.0001580874483149168,text
height,0.00015797211056286354,text
allergic,0.00015777445181690736,text
conditions,0.000157129783478938,text
unspecified ongoing,0.00015645731737413612,text
notified,0.0001562749258764337,text
unit,0.00015612439173289962,text
know,0.00015611218528968485,text
regarding events,0.00015596113401886342,text
follow,0.00015594677930426488,text
used,0.0001554321504652105,text
evaluated pfizer,0.00015532593741809564,text
